Age,Income,Occupation,Gender,Category,Recommended_Scheme
47,5679,farmer,female,general,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
47,5679,farmer,female,general,PM Krishi Sinchayee Yojana (PMKSY)
47,5679,farmer,female,general,Pradhan Mantri Fasal Bima Yojana (PMFBY)
47,5679,farmer,female,general,Kisan Credit Card (KCC) Scheme
47,5679,farmer,female,general,Deendayal Disabled Rehabilitation Scheme (DDRS)
47,5679,farmer,female,general,National Farmer Scheme - Phase 28
47,5679,farmer,female,general,National Farmer Scheme - Phase 44
47,5679,farmer,female,general,National Farmer Scheme - Phase 49
47,5679,farmer,female,general,National Farmer Scheme - Phase 73
47,5679,farmer,female,general,National Farmer Scheme - Phase 78
47,5679,farmer,female,general,National Farmer Scheme - Phase 86
47,5679,farmer,female,general,National Farmer Scheme - Phase 93
37,4106,farmer,male,obc,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
37,4106,farmer,male,obc,PM Krishi Sinchayee Yojana (PMKSY)
37,4106,farmer,male,obc,Pradhan Mantri Fasal Bima Yojana (PMFBY)
37,4106,farmer,male,obc,Kisan Credit Card (KCC) Scheme
37,4106,farmer,male,obc,PM Kisan Maan-Dhan Yojana (PM-KMY)
37,4106,farmer,male,obc,National Farmer Scheme - Phase 28
37,4106,farmer,male,obc,National Farmer Scheme - Phase 31
37,4106,farmer,male,obc,National Farmer Scheme - Phase 44
37,4106,farmer,male,obc,National Farmer Scheme - Phase 73
37,4106,farmer,male,obc,National Farmer Scheme - Phase 78
37,4106,farmer,male,obc,National Farmer Scheme - Phase 86
62,12467,retired,male,ews,Pradhan Mantri Vaya Vandana Yojana (PMVVY)
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 27
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 35
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 57
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 60
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 66
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 69
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 72
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 80
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 84
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 88
62,12467,retired,male,ews,Senior Citizen Financial Security - Pension 95
36,49993,private employee,female,obc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
63,0,unemployed,female,ews,PM Garib Kalyan Anna Yojana (PMGKAY)
63,0,unemployed,female,ews,Pradhan Mantri Awas Yojana - Gramin (PMAY-G)
63,0,unemployed,female,ews,Mo Ghara Yojana (Odisha Housing Scheme)
63,0,unemployed,female,ews,Ayushman Swasthya Suraksha - Yojana 36
63,0,unemployed,female,ews,Social Welfare Security Scheme - Support 37
63,0,unemployed,female,ews,Awas Sahayata Gramin - Allocation 56
63,0,unemployed,female,ews,Awas Sahayata Gramin - Allocation 58
63,0,unemployed,female,ews,Ayushman Swasthya Suraksha - Yojana 59
63,0,unemployed,female,ews,Ayushman Swasthya Suraksha - Yojana 65
63,0,unemployed,female,ews,Awas Sahayata Gramin - Allocation 67
63,0,unemployed,female,ews,Ayushman Swasthya Suraksha - Yojana 71
63,0,unemployed,female,ews,Awas Sahayata Gramin - Allocation 75
63,0,unemployed,female,ews,Social Welfare Security Scheme - Support 79
63,0,unemployed,female,ews,Ayushman Swasthya Suraksha - Yojana 89
63,0,unemployed,female,ews,Social Welfare Security Scheme - Support 91
63,0,unemployed,female,ews,Ayushman Swasthya Suraksha - Yojana 92
63,0,unemployed,female,ews,Ayushman Swasthya Suraksha - Yojana 94
63,0,unemployed,female,ews,Ayushman Swasthya Suraksha - Yojana 98
63,0,unemployed,female,ews,Social Welfare Security Scheme - Support 99
63,0,unemployed,female,ews,Social Welfare Security Scheme - Support 100
51,5796,farmer,male,obc,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
51,5796,farmer,male,obc,PM Krishi Sinchayee Yojana (PMKSY)
51,5796,farmer,male,obc,Pradhan Mantri Fasal Bima Yojana (PMFBY)
51,5796,farmer,male,obc,Kisan Credit Card (KCC) Scheme
51,5796,farmer,male,obc,PM Garib Kalyan Anna Yojana (PMGKAY)
51,5796,farmer,male,obc,Pradhan Mantri Awas Yojana - Gramin (PMAY-G)
51,5796,farmer,male,obc,Mo Ghara Yojana (Odisha Housing Scheme)
51,5796,farmer,male,obc,Ayushman Swasthya Suraksha - Yojana 26
51,5796,farmer,male,obc,National Farmer Scheme - Phase 28
51,5796,farmer,male,obc,Social Welfare Security Scheme - Support 30
51,5796,farmer,male,obc,National Farmer Scheme - Phase 31
51,5796,farmer,male,obc,Ayushman Swasthya Suraksha - Yojana 36
51,5796,farmer,male,obc,Social Welfare Security Scheme - Support 37
51,5796,farmer,male,obc,National Farmer Scheme - Phase 44
51,5796,farmer,male,obc,Social Welfare Security Scheme - Support 50
51,5796,farmer,male,obc,Awas Sahayata Gramin - Allocation 56
51,5796,farmer,male,obc,Awas Sahayata Gramin - Allocation 58
51,5796,farmer,male,obc,Ayushman Swasthya Suraksha - Yojana 59
51,5796,farmer,male,obc,Ayushman Swasthya Suraksha - Yojana 65
51,5796,farmer,male,obc,Awas Sahayata Gramin - Allocation 67
51,5796,farmer,male,obc,Ayushman Swasthya Suraksha - Yojana 71
51,5796,farmer,male,obc,National Farmer Scheme - Phase 73
51,5796,farmer,male,obc,Awas Sahayata Gramin - Allocation 75
51,5796,farmer,male,obc,Ayushman Swasthya Suraksha - Yojana 77
51,5796,farmer,male,obc,National Farmer Scheme - Phase 78
51,5796,farmer,male,obc,National Farmer Scheme - Phase 86
51,5796,farmer,male,obc,Ayushman Swasthya Suraksha - Yojana 89
51,5796,farmer,male,obc,Social Welfare Security Scheme - Support 91
51,5796,farmer,male,obc,Ayushman Swasthya Suraksha - Yojana 92
51,5796,farmer,male,obc,Ayushman Swasthya Suraksha - Yojana 94
51,5796,farmer,male,obc,Ayushman Swasthya Suraksha - Yojana 98
51,5796,farmer,male,obc,Social Welfare Security Scheme - Support 99
51,5796,farmer,male,obc,Social Welfare Security Scheme - Support 100
32,11250,laborer,female,general,Pradhan Mantri Matru Vandana Yojana (PMMVY)
33,62576,business owner,female,st,Pradhan Mantri Matru Vandana Yojana (PMMVY)
33,62576,business owner,female,st,Pradhan Mantri Mudra Yojana (PMMY) - Shishu
43,9588,laborer,female,obc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
18,0,student,male,ews,Deendayal Disabled Rehabilitation Scheme (DDRS)
24,0,student,female,ews,Pragati Scholarship Scheme for Girls
24,0,student,female,ews,Pradhan Mantri Matru Vandana Yojana (PMMVY)
24,0,student,female,ews,Naya Savera - Free Coaching Scheme for Minorities
24,0,student,female,ews,Maulana Azad National Fellowship for Minorities
44,6764,laborer,male,sc,PM Garib Kalyan Anna Yojana (PMGKAY)
44,6764,laborer,male,sc,Pradhan Mantri Awas Yojana - Gramin (PMAY-G)
44,6764,laborer,male,sc,Mo Ghara Yojana (Odisha Housing Scheme)
44,6764,laborer,male,sc,Social Welfare Security Scheme - Support 30
44,6764,laborer,male,sc,Ayushman Swasthya Suraksha - Yojana 36
44,6764,laborer,male,sc,Social Welfare Security Scheme - Support 37
44,6764,laborer,male,sc,Social Welfare Security Scheme - Support 50
44,6764,laborer,male,sc,Awas Sahayata Gramin - Allocation 56
44,6764,laborer,male,sc,Awas Sahayata Gramin - Allocation 58
44,6764,laborer,male,sc,Ayushman Swasthya Suraksha - Yojana 59
44,6764,laborer,male,sc,Ayushman Swasthya Suraksha - Yojana 65
44,6764,laborer,male,sc,Awas Sahayata Gramin - Allocation 67
44,6764,laborer,male,sc,Ayushman Swasthya Suraksha - Yojana 71
44,6764,laborer,male,sc,Awas Sahayata Gramin - Allocation 75
44,6764,laborer,male,sc,Social Welfare Security Scheme - Support 76
44,6764,laborer,male,sc,Ayushman Swasthya Suraksha - Yojana 77
44,6764,laborer,male,sc,Ayushman Swasthya Suraksha - Yojana 89
44,6764,laborer,male,sc,Social Welfare Security Scheme - Support 91
44,6764,laborer,male,sc,Ayushman Swasthya Suraksha - Yojana 92
44,6764,laborer,male,sc,Ayushman Swasthya Suraksha - Yojana 94
44,6764,laborer,male,sc,Ayushman Swasthya Suraksha - Yojana 98
44,6764,laborer,male,sc,Social Welfare Security Scheme - Support 99
44,6764,laborer,male,sc,Social Welfare Security Scheme - Support 100
26,52388,private employee,female,obc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
18,0,unemployed,male,ews,Deendayal Disabled Rehabilitation Scheme (DDRS)
18,0,unemployed,male,ews,Skill Upgradation and Vocational Loan - Plan 54
18,0,unemployed,male,ews,Skill Upgradation and Vocational Loan - Plan 74
18,0,unemployed,male,ews,Skill Upgradation and Vocational Loan - Plan 82
61,7853,farmer,female,general,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
61,7853,farmer,female,general,PM Krishi Sinchayee Yojana (PMKSY)
61,7853,farmer,female,general,Pradhan Mantri Fasal Bima Yojana (PMFBY)
61,7853,farmer,female,general,Kisan Credit Card (KCC) Scheme
61,7853,farmer,female,general,National Farmer Scheme - Phase 28
61,7853,farmer,female,general,National Farmer Scheme - Phase 43
61,7853,farmer,female,general,National Farmer Scheme - Phase 44
61,7853,farmer,female,general,National Farmer Scheme - Phase 73
61,7853,farmer,female,general,National Farmer Scheme - Phase 78
61,7853,farmer,female,general,National Farmer Scheme - Phase 86
41,6600,laborer,female,ews,Pradhan Mantri Matru Vandana Yojana (PMMVY)
41,6600,laborer,female,ews,PMMVY-Urban (Maternity Benefit Scheme for Urban Poor)
41,6600,laborer,female,ews,PM Garib Kalyan Anna Yojana (PMGKAY)
41,6600,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 36
41,6600,laborer,female,ews,Social Welfare Security Scheme - Support 37
41,6600,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 59
41,6600,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 65
41,6600,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 71
41,6600,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 89
41,6600,laborer,female,ews,Social Welfare Security Scheme - Support 91
41,6600,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 92
41,6600,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 94
41,6600,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 98
41,6600,laborer,female,ews,Social Welfare Security Scheme - Support 99
41,6600,laborer,female,ews,Social Welfare Security Scheme - Support 100
41,6143,farmer,male,general,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
41,6143,farmer,male,general,PM Krishi Sinchayee Yojana (PMKSY)
