Age,Gender,Income,State,Education,Occupation,Category,Disability_Status,Employment_Status,Rural_Urban,Marital_Status,Farmer_Status,Student_Status,BPL_Status,Minority_Status,Recommended_Scheme
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,PM Krishi Sinchayee Yojana (PMKSY)
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Fasal Bima Yojana (PMFBY)
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,Kisan Credit Card (KCC) Scheme
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,Deendayal Disabled Rehabilitation Scheme (DDRS)
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 28
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 44
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 49
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 73
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 78
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 86
47,female,5679,uttar pradesh,primary,farmer,general,yes,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 93
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,PM Krishi Sinchayee Yojana (PMKSY)
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Fasal Bima Yojana (PMFBY)
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,Kisan Credit Card (KCC) Scheme
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,PM Kisan Maan-Dhan Yojana (PM-KMY)
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 28
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 31
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 44
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 73
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 78
37,male,4106,tamil nadu,10th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 86
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Pradhan Mantri Vaya Vandana Yojana (PMVVY)
